Date,Open,High,Low,Close,Adj Close,Volume
3/18/2019,2179.689941,2183.899902,2172.340088,2179.48999,2179.48999,258000
3/19/2019,2183.030029,2183.76001,2171.050049,2177.620117,2177.620117,319700
3/20/2019,2171.409912,2177.189941,2152.209961,2177.100098,2177.100098,317600
3/21/2019,2183.110107,2200.320068,2173.699951,2184.879883,2184.879883,342700
3/22/2019,2192.719971,2195.419922,2178.77002,2186.949951,2186.949951,333600
3/25/2019,2158.800049,2159.25,2143.699951,2144.860107,2144.860107,307100
3/26/2019,2152.97998,2153.899902,2143.629883,2148.800049,2148.800049,301300
3/27/2019,2147.189941,2152.909912,2132.419922,2145.620117,2145.620117,363200
3/28/2019,2131.25,2136.399902,2120.929932,2128.100098,2128.100098,288000
3/29/2019,2138.449951,2143.300049,2124.070068,2140.669922,2140.669922,364600
4/1/2019,2153.310059,2171.48999,2153.310059,2168.280029,2168.280029,263300
4/2/2019,2177.199951,2181.370117,2171.840088,2177.179932,2177.179932,257500
4/3/2019,2176.810059,2203.290039,2172.830078,2203.27002,2203.27002,358600
4/4/2019,2201.040039,2216.149902,2198.659912,2206.530029,2206.530029,431000
4/5/2019,2206.360107,2214.820068,2205.26001,2209.610107,2209.610107,517200
4/8/2019,2217.659912,2217.870117,2202.48999,2210.600098,2210.600098,347900
4/9/2019,2212.320068,2221.620117,2203.540039,2213.560059,2213.560059,414800
4/10/2019,2206.199951,2225.02002,2203.820068,2224.389893,2224.389893,399700
4/11/2019,2227.689941,2230.409912,2217.179932,2224.439941,2224.439941,402000
4/12/2019,2221.100098,2233.449951,2212.879883,2233.449951,2233.449951,449600
4/15/2019,2242.310059,2251.219971,2240.290039,2242.879883,2242.879883,404200
4/16/2019,2241.060059,2249.889893,2235.719971,2248.629883,2248.629883,569100
4/17/2019,2249.050049,2252.050049,2242.01001,2245.889893,2245.889893,452500
4/18/2019,2248.800049,2250.110107,2210.429932,2213.77002,2213.77002,573300
4/19/2019,2223.419922,2225.370117,2215.580078,2216.149902,2216.149902,0
4/22/2019,2218.5,2227.939941,2207.25,2216.649902,2216.649902,494000
4/23/2019,2217.610107,2223.919922,2212.139893,2220.51001,2220.51001,481200
4/24/2019,2229.75,2229.75,2190.290039,2201.030029,2201.030029,575100
4/25/2019,2195.469971,2200.889893,2187.439941,2190.5,2190.5,441100
4/26/2019,2178.129883,2186.52002,2168.149902,2179.310059,2179.310059,570200
4/29/2019,2183.409912,2216.429932,2181.820068,2216.429932,2216.429932,380800
4/30/2019,2213.429932,2215.77002,2186.330078,2203.590088,2203.590088,381400
5/2/2019,2192.939941,2217.030029,2191.300049,2212.75,2212.75,369100
5/3/2019,2209.439941,2211.360107,2192.360107,2196.320068,2196.320068,617900
5/7/2019,2172.389893,2179.51001,2160.439941,2176.98999,2176.98999,484100
5/8/2019,2151.340088,2179.340088,2151.340088,2168.01001,2168.01001,456300
5/9/2019,2159.790039,2164.97998,2102.01001,2102.01001,2102.01001,743500
5/10/2019,2118.419922,2124.919922,2090.389893,2108.040039,2108.040039,714800
5/13/2019,2091.800049,2101.090088,2077.719971,2079.01001,2079.01001,505800
5/14/2019,2060.23999,2093.409912,2056.73999,2081.840088,2081.840088,696200
5/15/2019,2081.919922,2100.01001,2076.459961,2092.780029,2092.780029,577800
5/16/2019,2094.879883,2095.580078,2062.439941,2067.689941,2067.689941,745200
5/17/2019,2081.570068,2082.830078,2053.790039,2055.800049,2055.800049,537400
5/20/2019,2066.530029,2077.100098,2051.689941,2055.709961,2055.709961,640200
5/21/2019,2056.949951,2076.469971,2053.689941,2061.25,2061.25,526900
5/22/2019,2068.649902,2070.800049,2048.01001,2064.860107,2064.860107,510000
5/23/2019,2063.25,2065.860107,2046.819946,2059.590088,2059.590088,509300
5/24/2019,2047.300049,2057.379883,2035.97998,2045.310059,2045.310059,480600
5/27/2019,2044.25,2055.129883,2035.869995,2044.209961,2044.209961,351600
5/28/2019,2044.77002,2058.419922,2038.52002,2048.830078,2048.830078,494500
5/29/2019,2046.709961,2046.709961,2016.25,2023.319946,2023.319946,380900
5/30/2019,2024.329956,2040.660034,2023.910034,2038.800049,2038.800049,461900
5/31/2019,2029.030029,2048.899902,2022.969971,2041.73999,2041.73999,439200
6/3/2019,2031.030029,2070.580078,2029.170044,2067.850098,2067.850098,387100
6/4/2019,2066.780029,2072.189941,2060.97998,2066.969971,2066.969971,436000
6/5/2019,2084.159912,2086.48999,2065.709961,2069.110107,2069.110107,380200
6/7/2019,2070.780029,2081.159912,2057.969971,2072.330078,2072.330078,368400
6/10/2019,2087.370117,2099.649902,2075.51001,2099.48999,2099.48999,457600
6/11/2019,2096.090088,2114.570068,2094.600098,2111.810059,2111.810059,550700
6/12/2019,2111.659912,2118.889893,2104.409912,2108.75,2108.75,693500
6/13/2019,2104.459961,2108.01001,2081.919922,2103.149902,2103.149902,553400
