fips,cases,deaths,case_pct_change,3d_rolling_case_chg,3d_rolling_case_chg_2,CTYNAME,STNAME,POPESTIMATE2019
36119,10.301744898739646,0.025839633035867476,0.06873257559511026,0.08174659390318266,-0.0991634541730102,Westchester County,New York,967506.0
36087,8.787896460592592,0.024555770759602073,0.1401831939466347,0.14732700904334206,-0.26715362713738366,Rockland County,New York,325789.0
16013,8.340211111593762,0.08687719907910169,0.29729729729729737,0.1976752496203297,0.3259569164960119,Blaine County,Idaho,23021.0
36059,6.296594356058261,0.04642853984453072,0.16339869281045738,0.15562479565546986,-0.051913399204793875,Nassau County,New York,1356924.0
13095,5.2981035972531725,0.2956023466278594,0.6762589928057554,0.3014812123696072,1.7272432322414146,Dougherty County,Georgia,87956.0
22071,4.7008284120734904,0.25887877296587924,0.23918918918918908,0.1251823729224859,0.5281073829948673,Orleans Parish,Louisiana,390144.0
08051,4.695911121291949,0.05726720879624327,0.025000000000000133,0.01682624688953808,-0.7564906412354986,Gunnison County,Colorado,17462.0
13273,4.68878208885242,0.23443910444262103,1.0,0.6666666666666666,0.20000000000000018,Terrell County,Georgia,8531.0
36103,4.546251831063368,0.03589324401107679,0.1592125712312209,0.1753268940003152,-0.10732733377325165,Suffolk County,New York,1476601.0
08037,4.117764434850436,0.07255972572423676,0.06572769953051627,0.0774125533860414,-0.020500095940021335,Eagle County,Colorado,55127.0
49043,4.081148416182228,0.0,-0.022727272727272818,0.11205315673448184,-0.3452699852952914,Summit County,Utah,42145.0
36071,4.052579622798358,0.007793422351535304,0.08710801393728218,0.12349218782933098,-0.24892030500188056,Orange County,New York,384940.0
22093,3.6499810390595373,0.18960940462646947,0.18461538461538463,0.17075563325563334,-0.029156772875365777,St. James Parish,Louisiana,21096.0
13099,3.140333660451423,0.09813542688910697,0.5999999999999999,0.2833333333333334,0.7679999999999991,Early County,Georgia,10190.0
34003,3.120568288847267,0.05685463021963051,0.1720386784850927,0.16547728716187957,-0.09021033825262181,Bergen County,New Jersey,932202.0
13177,3.0008002133902374,0.23339557215257403,1.0454545454545454,0.39042482065737877,5.511639556572805,Lee County,Georgia,29992.0
22051,2.7584261479376546,0.13179404059718886,0.42362768496420067,0.1825532672439647,0.13693990278399482,Jefferson Parish,Louisiana,432493.0
08079,2.600780234070221,0.0,1.0,4.7745990463805805,,Mineral County,Colorado,769.0
34031,2.5785830148298414,0.0219199483486308,0.1860678276810266,0.2885733988062516,-0.07493772055629244,Passaic County,New Jersey,501826.0
34039,2.5487965114920526,0.04313901006756647,0.16900247320692485,0.24344809529179634,-0.2630335247549517,Union County,New Jersey,556341.0
05023,2.4479312974035876,0.08026004253782254,0.051724137931034475,0.06914614121510694,0.1778079673952122,Cleburne County,Arkansas,24919.0
22095,2.427807736302729,0.2801316618810841,0.3866666666666667,0.2526705653021442,0.10109188853206241,St. John the Baptist Parish,Louisiana,42837.0
34017,2.388491220138283,0.023795678407355244,0.22222222222222232,0.27819754013635406,-0.08321805836542961,Hudson County,New Jersey,672391.0
34013,2.3780468725554615,0.058825370005319316,0.21483375959079276,0.20644054682210186,-0.1389435169465718,Essex County,New Jersey,798975.0
26163,2.135087287055769,0.06859718191343836,0.16901408450704225,0.17270904975625748,-0.17583746222139707,Wayne County,Michigan,1749343.0
09001,1.9823349573638973,0.040282742449105936,0.2941176470588236,0.2753018639297626,0.11724399883553316,Fairfield County,Connecticut,943332.0
36079,1.8917819365337674,0.0,0.11377245508982048,0.12424377284447179,-0.15122254797105517,Putnam County,New York,98320.0
34025,1.8422902576782294,0.033936925799335806,0.10679611650485432,0.13488687618366932,-0.23609403826773234,Monmouth County,New Jersey,618795.0
18031,1.7696449414511088,0.03765202003087466,0.11904761904761907,0.1674603174603174,-0.06478008864643714,Decatur County,Indiana,26559.0
13061,1.7642907551164433,0.0,4.0,,,Clay County,Georgia,2834.0
20031,1.7117006969067123,0.0,0.3999999999999999,0.21666666666666679,-0.9103448275862068,Coffey County,Kansas,8179.0
34027,1.709888277811099,0.04269637792393945,0.16805555555555562,0.24022778254486865,0.05507661280382359,Morris County,New Jersey,491845.0
25025,1.7079089994240628,0.008707474869605564,0.23139013452914803,0.17754186349140913,-0.16412876851400127,Suffolk County,Massachusetts,803907.0
08097,1.6885236674734057,0.11256824449822705,0.034482758620689724,0.04900612371876741,-0.036170185359318596,Pitkin County,Colorado,17767.0
34029,1.683174513246353,0.029644952288096233,0.16933638443935917,0.17906589660022187,-0.1824937141850369,Ocean County,New Jersey,607186.0
36027,1.6450387127911956,0.013595361262737153,0.23469387755102034,0.22702264111751572,0.11500868789726226,Dutchess County,New York,294218.0
28157,1.6222479721900347,0.23174971031286212,0.07692307692307687,0.08372183372183366,-0.36648701616854484,Wilkinson County,Mississippi,8630.0
22075,1.595033840582834,0.08621804543690995,0.6818181818181817,0.27814992025518337,1.453314577105679,Plaquemines Parish,Louisiana,23197.0
45055,1.5777373743444876,0.030052140463704528,0.06060606060606055,0.11043307428849596,-0.10627101712323928,Kershaw County,South Carolina,66551.0
13205,1.5551388190092852,0.045739377029684856,1.125,0.3972222222222222,7.629310344827589,Mitchell County,Georgia,21863.0
34023,1.5477624711839837,0.029088723029299615,0.1371326803205699,0.16508397147293982,-0.20200360026157882,Middlesex County,New Jersey,825062.0
37131,1.5398039316327055,0.0,0.15384615384615374,1.814615384615385,-0.031918289179699855,Northampton County,North Carolina,19483.0
18047,1.5379207311714562,0.17576236927673786,0.25,0.15245261984392414,0.8090799759470826,Franklin County,Indiana,22758.0
